"NUTS_CODE","TIMESTAMP","MEDIAN"
"FRL04","2003-01-01",1.03
"FRL05","2003-01-01",0.766
"FRL06","2003-01-01",1.05
"FRM01","2003-01-01",0.807
"FRM02","2003-01-01",0.687
"HR021","2003-01-01",0.346
"HR022","2003-01-01",0.381
"HR023","2003-01-01",0.511
"HR024","2003-01-01",0.548
"HR025","2003-01-01",0.298
"HR026","2003-01-01",0.494
"HR027","2003-01-01",0.687
"HR028","2003-01-01",0.519
"HR031","2003-01-01",0.776
"HR032","2003-01-01",0.734
"HR033","2003-01-01",0.867
"HR034","2003-01-01",0.839
"HR035","2003-01-01",0.887
"HR036","2003-01-01",0.734
"HR037","2003-01-01",0.983
"HR050","2003-01-01",0.68
"HR061","2003-01-01",0.464
"HR062","2003-01-01",0.342
"HR063","2003-01-01",0.251
"HR064","2003-01-01",0.669
"HR065","2003-01-01",0.58
"HU110","2003-01-01",0.623
"HU120","2003-01-01",0.597
"HU211","2003-01-01",0.378
"HU212","2003-01-01",0.664
"HU213","2003-01-01",0.36
"HU221","2003-01-01",0.85
"HU222","2003-01-01",0.251
"HU223","2003-01-01",-0.226
"HU231","2003-01-01",0.165
"HU232","2003-01-01",-0.425
"HU233","2003-01-01",0.188
"HU311","2003-01-01",0.461
